capture_name,protocol_scope,description,evidence_type,source_url
aaa.pcap,SIP + RTP,Sample SIP and RTP traffic,public_capture,https://wiki.wireshark.org/SampleCaptures
SIP_CALL_RTP_G711,SIP + RTP,Sample SIP call with RTP in G.711,public_capture,https://wiki.wireshark.org/SampleCaptures
SIP_DTMF2.cap,SIP + RTP + DTMF,Sample SIP call using RFC 2833 DTMF,public_capture,https://wiki.wireshark.org/SampleCaptures
DTMFsipinfo.pcap,SIP + DTMF,Sample SIP call using SIP INFO DTMF,public_capture,https://wiki.wireshark.org/SampleCaptures
sip-rtp-g711.pcap,SIP + RTP + G.711,SIP call with G.711A and G.711U variants,public_capture,https://wiki.wireshark.org/SampleCaptures
sip-rtp-g722.pcap,SIP + RTP + G.722,SIP/RTP codec capture,public_capture,https://wiki.wireshark.org/SampleCaptures
sip-rtp-opus.pcap,SIP + RTP + Opus,Opus mono session with 48 kHz clock rate,public_capture,https://wiki.wireshark.org/SampleCaptures
sip-tls-1.3-and-rtcp.zip,SIP over TLS + RTCP,SIP call over TLS 1.3 with RTCP enabled,public_capture,https://wiki.wireshark.org/SampleCaptures
